,Age,AgeGeneration,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,DistanceFromHomeCategory,Education,EducationField,EmployeeCount,EmployeeEngagementScore,EmployeeNumber,EnvironmentSatisfaction,ExperiencePriorToCurrentJob,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,Overtime_Preference,PercentSalaryHike,PerformanceRating,PerformanceSatisfactionIndex,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
0,41,Millennials,Yes,Travel_Rarely,1102,Sales,1,Short Distance,College,Life Sciences,1,2.3333333333333335,1,Medium,2,Female,94,High,2,Sales Executive,Very High,Single,5993,19479,8,Y,Yes,1,11,Excellent,2.3333333333333335,Low,80,0,8,0,Bad,6,4,0,5
1,49,Gen X,No,Travel_Frequently,279,Research & Development,8,Short Distance,Below College,Life Sciences,1,3.0,2,High,0,Male,61,Medium,2,Research Scientist,Medium,Married,5130,24907,1,Y,No,0,23,Outstanding,3.0,Very High,80,1,10,3,Better,10,7,1,7
2,37,Millennials,Yes,Travel_Rarely,1373,Research & Development,2,Short Distance,College,Other,1,2.6666666666666665,4,Very High,7,Male,92,Medium,1,Laboratory Technician,High,Single,2090,2396,6,Y,Yes,1,15,Excellent,3.0,Medium,80,0,7,3,Better,0,0,0,0
3,33,Millennials,No,Travel_Frequently,1392,Research & Development,3,Short Distance,Master,Life Sciences,1,3.0,5,Very High,0,Female,56,High,1,Research Scientist,High,Married,2909,23159,1,Y,Yes,1,11,Excellent,3.3333333333333335,High,80,0,8,3,Better,8,7,3,0
4,27,Gen Z,No,Travel_Rarely,591,Research & Development,2,Short Distance,Below College,Medical,1,3.0,7,Low,4,Male,40,High,1,Laboratory Technician,Medium,Married,3468,16632,9,Y,No,0,12,Excellent,2.3333333333333335,Very High,80,1,6,3,Better,2,2,2,2
5,32,Millennials,No,Travel_Frequently,1005,Research & Development,2,Short Distance,College,Life Sciences,1,2.6666666666666665,8,Very High,1,Male,79,High,1,Laboratory Technician,Very High,Single,3068,11864,0,Y,No,0,13,Excellent,3.6666666666666665,High,80,0,8,2,Good,7,7,3,6
6,59,Gen X,No,Travel_Rarely,1324,Research & Development,3,Short Distance,Bachelor,Medical,1,3.3333333333333335,10,High,11,Female,81,Very High,1,Laboratory Technician,Low,Married,2670,9964,4,Y,Yes,1,20,Outstanding,1.6666666666666667,Low,80,3,12,3,Good,1,0,0,0
7,30,Millennials,No,Travel_Rarely,1358,Research & Development,24,Long Distance,Below College,Life Sciences,1,3.3333333333333335,11,Very High,0,Male,67,High,1,Laboratory Technician,High,Divorced,2693,13335,1,Y,No,0,22,Outstanding,3.0,Medium,80,1,1,2,Better,1,0,0,0
8,38,Millennials,No,Travel_Frequently,216,Research & Development,23,Long Distance,Bachelor,Life Sciences,1,3.0,12,Very High,1,Male,44,Medium,3,Manufacturing Director,High,Single,9526,8787,0,Y,No,0,21,Outstanding,3.0,Medium,80,0,10,2,Better,9,7,1,8
9,36,Millennials,No,Travel_Rarely,1299,Research & Development,27,Long Distance,Bachelor,Medical,1,2.6666666666666665,13,High,10,Male,94,High,2,Healthcare Representative,High,Married,5237,16577,6,Y,No,0,13,Excellent,2.6666666666666665,Medium,80,2,17,3,Good,7,7,7,7
10,35,Millennials,No,Travel_Rarely,809,Research & Development,16,Medium Distance,Bachelor,Medical,1,3.3333333333333335,14,Low,1,Male,84,Very High,1,Laboratory Technician,Medium,Married,2426,16479,0,Y,No,0,13,Excellent,2.0,High,80,1,6,5,Better,5,4,0,3
